order_id,order_date,ship_date,ship_mode,customer_id,product_id,quantity,sales,discount,profit
CA-2016-152156,11/08/2016,11/11/2016,Second Class,CG-12520,FUR-BO-10001798,2,261.96,0,41.9136
CA-2016-152156,11/08/2016,11/11/2016,Second Class,CG-12520,FUR-CH-10000454,3,731.94,0,219.582
CA-2016-138688,06/12/2016,6/16/2016,Second Class,DV-13045,OFF-LA-10000240,2,14.62,0,6.8714
US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,FUR-TA-10000577,5,957.5775,0.45,-383.031
US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,OFF-ST-10000760,2,22.368,0.2,2.5164
CA-2014-115812,06/09/2014,6/14/2014,Standard Class,BH-11710,FUR-FU-10001487,7,48.86,0,14.1694
CA-2014-115812,06/09/2014,6/14/2014,Standard Class,BH-11710,OFF-AR-10002833,4,7.28,0,1.9656
CA-2014-115812,06/09/2014,6/14/2014,Standard Class,BH-11710,TEC-PH-10002275,6,907.152,0.2,90.7152
CA-2014-115812,06/09/2014,6/14/2014,Standard Class,BH-11710,OFF-BI-10003910,3,18.504,0.2,5.7825
CA-2014-115812,06/09/2014,6/14/2014,Standard Class,BH-11710,OFF-AP-10002892,5,114.9,0,34.47
CA-2014-115812,06/09/2014,6/14/2014,Standard Class,BH-11710,FUR-TA-10001539,9,1706.184,0.2,85.3092
CA-2014-115812,06/09/2014,6/14/2014,Standard Class,BH-11710,TEC-PH-10002033,4,911.424,0.2,68.3568
CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,OFF-PA-10002365,3,15.552,0.2,5.4432
CA-2016-161389,12/05/2016,12/10/2016,Standard Class,IM-15070,OFF-BI-10003656,3,407.976,0.2,132.5922
US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,OFF-AP-10002311,5,68.81,0.8,-123.858
US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,OFF-BI-10000756,3,2.544,0.8,-3.816
CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,OFF-ST-10004186,6,665.88,0,13.3176
CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,OFF-ST-10000107,2,55.5,0,9.99
CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,OFF-AR-10003056,2,8.56,0,2.4824
CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,TEC-PH-10001949,3,213.48,0.2,16.011
CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,OFF-BI-10002215,4,22.72,0.2,7.384
CA-2016-137330,12/09/2016,12/13/2016,Standard Class,KB-16585,OFF-AR-10000246,7,19.46,0,5.0596
CA-2016-137330,12/09/2016,12/13/2016,Standard Class,KB-16585,OFF-AP-10001492,7,60.34,0,15.6884
US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065,FUR-CH-10002774,2,71.372,0.3,-1.0196
CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,FUR-TA-10000577,3,1044.63,0,240.2649
CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,OFF-BI-10001634,2,11.648,0.2,4.2224
CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,TEC-AC-10003027,3,90.57,0,11.7741
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,FUR-BO-10004834,7,3083.43,0.5,-1665.0522
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-BI-10000474,2,9.618,0.7,-7.0532
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,FUR-FU-10004848,3,124.2,0.2,15.525
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-EN-10001509,2,3.264,0.2,1.1016
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-AR-10004042,6,86.304,0.2,9.7092
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-BI-10001525,6,6.858,0.7,-5.715
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,OFF-AR-10001683,2,15.76,0.2,3.546
CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560,OFF-PA-10000249,3,29.472,0.2,9.9468
CA-2016-117590,12/08/2016,12/10/2016,First Class,GH-14485,TEC-PH-10004977,7,1097.544,0.2,123.4737
CA-2016-117590,12/08/2016,12/10/2016,First Class,GH-14485,FUR-FU-10003664,5,190.92,0.6,-147.963
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,OFF-EN-10002986,9,113.328,0.2,35.415
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,FUR-BO-10002545,3,532.3992,0.32,-46.9764
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,FUR-CH-10004218,3,212.058,0.3,-15.147
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,TEC-PH-10000486,4,371.168,0.2,41.7564
CA-2017-120999,09/10/2017,9/15/2017,Standard Class,LC-16930,TEC-PH-10004093,4,147.168,0.2,16.5564
CA-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885,OFF-ST-10003479,2,77.88,0,3.894
CA-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080,OFF-ST-10003282,2,95.616,0.2,9.5616
CA-2016-118255,03/11/2016,3/13/2016,First Class,ON-18715,TEC-AC-10000171,2,45.98,0,19.7714
CA-2016-118255,03/11/2016,3/13/2016,First Class,ON-18715,OFF-BI-10003291,2,17.46,0,8.2062
CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,OFF-ST-10001713,4,211.96,0,8.4784
CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,TEC-AC-10002167,3,45,0,4.95
CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,TEC-PH-10003988,2,21.8,0,6.104
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,OFF-BI-10004410,6,38.22,0,17.9634
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,OFF-LA-10002762,6,75.18,0,35.3346
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,FUR-FU-10001706,2,6.16,0,2.9568
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,FUR-CH-10003061,1,89.99,0,17.0981
CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,OFF-FA-10000304,7,15.26,0,6.2566
CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,TEC-PH-10002447,5,1029.95,0,298.6855
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-ST-10000604,6,208.56,0,52.14
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-PA-10001569,5,32.4,0,15.552
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,FUR-CH-10003968,5,319.41,0.1,7.098
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-PA-10000587,2,14.56,0,6.9888
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,TEC-AC-10002167,2,30,0,3.3
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-BI-10001460,4,48.48,0.2,16.362
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,OFF-AR-10001868,1,1.68,0,0.84
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,TEC-AC-10004633,2,13.98,0,6.1512
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,OFF-BI-10001078,6,25.824,0.2,9.3612
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,OFF-PA-10003892,3,146.73,0,68.9631
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,FUR-FU-10000397,4,79.76,0,22.3328
US-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970,FUR-CH-10001146,5,213.115,0.3,-15.2225
CA-2014-106376,12/05/2014,12/10/2014,Standard Class,BS-11590,OFF-AR-10002671,8,1113.024,0.2,111.3024
CA-2014-106376,12/05/2014,12/10/2014,Standard Class,BS-11590,TEC-PH-10002726,4,167.968,0.2,62.988
CA-2016-119823,06/04/2016,6/6/2016,First Class,KD-16270,OFF-PA-10000482,2,75.88,0,35.6636
CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,OFF-BI-10004654,1,4.616,0.2,1.731
CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520,OFF-PA-10004675,3,19.05,0,8.763
US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,FUR-CH-10000513,8,831.936,0.2,-114.3912
US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,FUR-FU-10003708,2,97.04,0.2,1.213
US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,OFF-ST-10004123,1,72.784,0.2,-18.196
US-2017-118038,12/09/2017,12/11/2017,First Class,KB-16600,OFF-BI-10004182,3,1.248,0.8,-1.9344
US-2017-118038,12/09/2017,12/11/2017,First Class,KB-16600,FUR-FU-10000260,3,9.708,0.6,-5.8248
US-2017-118038,12/09/2017,12/11/2017,First Class,KB-16600,OFF-ST-10000615,3,27.24,0.2,2.724
US-2014-147606,11/26/2014,12/1/2014,Second Class,JE-15745,FUR-FU-10003194,5,19.3,0.6,-14.475
CA-2016-127208,06/12/2016,6/15/2016,First Class,SC-20770,OFF-AP-10002118,1,208.16,0,56.2032
CA-2016-127208,06/12/2016,6/15/2016,First Class,SC-20770,OFF-BI-10002309,3,16.74,0,8.0352
CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,OFF-AR-10002053,5,14.9,0,4.172
CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,OFF-ST-10002370,1,21.39,0,6.2031
CA-2015-149734,09/03/2015,9/8/2015,Standard Class,JC-16105,OFF-EN-10000927,7,200.984,0.2,62.8075
US-2017-119662,11/13/2017,11/16/2017,First Class,CS-12400,OFF-ST-10003656,3,230.376,0.2,-48.9549
CA-2017-140088,5/28/2017,5/30/2017,Second Class,PO-18865,FUR-CH-10000863,2,301.96,0,33.2156
CA-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895,TEC-AC-10001998,1,19.99,0,6.7966
CA-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895,OFF-LA-10000134,2,6.16,0,2.9568
CA-2016-159695,04/05/2016,4/10/2016,Second Class,GM-14455,OFF-ST-10003442,7,158.368,0.2,13.8572
CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,OFF-AR-10004930,3,20.1,0,6.633
CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,TEC-PH-10004093,2,73.584,0.2,8.2782
